Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2021-2022,Wilfrid Laurier,20,69,29,6,28,21.4,11,16,5,28,12,57,Lakehead,28,64,43.8,3,13,23.1,9,12,6,35,15,68,0,0.333333333,0.144508671,0.125,0.823529412,0.15942029,0.4609375,0.191619826,0.176470588,0.875,0.140625
2021-2022,York,31,72,43.1,4,17,23.5,13,21,17,29,15,79,Nipissing,22,63,34.9,0,13,0,11,14,9,25,22,55,1,0.458333333,0.189298334,0.404761905,0.763157895,0.180555556,0.349206349,0.267770204,0.236842105,0.595238095,0.174603175
2021-2022,Brock,33,83,39.8,6,21,28.6,6,10,16,33,14,78,Guelph,18,72,25,4,28,14.3,12,19,14,28,18,52,1,0.43373494,0.163934426,0.363636364,0.70212766,0.072289157,0.277777778,0.213371266,0.29787234,0.636363636,0.166666667
2021-2022,Ontario Tech,15,56,26.8,1,9,11.1,7,17,8,24,24,38,Ryerson,28,72,38.9,8,24,33.3,14,19,12,28,16,78,0,0.276785714,0.301962758,0.222222222,0.666666667,0.125,0.444444444,0.189663348,0.333333333,0.777777778,0.194444444
2021-2022,Windsor,28,70,40,7,30,23.3,11,17,15,35,17,74,Wilfrid Laurier,25,67,37.3,3,18,16.7,6,13,5,22,17,59,1,0.45,0.213890287,0.405405405,0.875,0.157142857,0.395522388,0.200661001,0.125,0.594594595,0.089552239
2021-2022,Algoma,20,61,32.8,5,21,23.8,3,6,5,29,17,48,Waterloo,26,83,31.3,8,24,33.3,8,9,22,31,9,68,0,0.368852459,0.22474881,0.138888889,0.568627451,0.049180328,0.361445783,0.121687399,0.431372549,0.861111111,0.096385542
2021-2022,Lakehead,23,61,37.7,6,17,35.3,6,8,8,25,14,58,Western,24,73,32.9,5,24,20.8,8,11,18,26,17,61,0,0.426229508,0.198525241,0.235294118,0.581395349,0.098360656,0.363013699,0.221238938,0.418604651,0.764705882,0.109589041
2021-2022,Queens,27,77,35.1,11,31,35.5,22,29,17,28,11,87,Laurentian,16,62,25.8,2,18,11.1,12,20,19,35,28,46,1,0.422077922,0.131327603,0.326923077,0.595744681,0.285714286,0.274193548,0.350877193,0.404255319,0.673076923,0.193548387
2021-2022,Toronto,19,65,29.2,6,26,23.1,7,11,18,15,15,51,Ottawa,30,54,55.6,5,19,26.3,16,21,10,28,16,81,0,0.338461538,0.224416517,0.391304348,0.6,0.107692308,0.601851852,0.2310803,0.4,0.608695652,0.296296296
2021-2022,York,27,82,32.9,8,33,24.2,9,11,13,26,8,71,Carleton,28,67,41.8,5,17,29.4,8,20,10,35,15,69,1,0.37804878,0.097751711,0.270833333,0.722222222,0.109756098,0.455223881,0.185643564,0.277777778,0.729166667,0.119402985
2021-2022,Algoma,10,59,16.9,4,20,20,5,8,4,26,13,29,Waterloo,25,70,35.7,6,21,28.6,7,12,13,42,5,63,0,0.203389831,0.181767338,0.086956522,0.666666667,0.084745763,0.4,0.07431629,0.333333333,0.913043478,0.1
2021-2022,Guelph,27,70,38.6,6,20,30,7,8,7,25,21,67,Brock,27,68,39.7,10,26,38.5,11,15,13,21,28,75,0,0.428571429,0.239945155,0.25,0.657894737,0.1,0.470588235,0.3125,0.342105263,0.75,0.161764706
2021-2022,Lakehead,16,51,31.4,4,10,40,16,24,4,24,18,52,Western,34,81,42,6,22,27.3,11,21,24,26,10,85,0,0.352941176,0.238221281,0.133333333,0.5,0.31372549,0.456790123,0.131164743,0.5,0.866666667,0.135802469
2021-2022,Ontario Tech,14,39,35.9,0,6,0,21,27,3,24,22,49,Ryerson,24,66,36.4,4,21,19,9,12,14,18,17,61,0,0.358974359,0.314825415,0.142857143,0.631578947,0.538461538,0.393939394,0.228863759,0.368421053,0.857142857,0.136363636
2021-2022,Queens,23,69,33.3,9,35,25.7,18,28,18,17,15,73,Laurentian,24,47,51.1,6,16,37.5,15,22,8,28,23,69,1,0.398550725,0.191521961,0.391304348,0.68,0.260869565,0.574468085,0.320870536,0.32,0.608695652,0.319148936
2021-2022,Toronto,14,49,28.6,7,21,33.3,8,11,7,25,24,43,Ottawa,24,60,40,7,24,29.2,23,29,13,30,15,78,0,0.357142857,0.338791643,0.189189189,0.657894737,0.163265306,0.458333333,0.200642055,0.342105263,0.810810811,0.383333333
2021-2022,Wilfrid Laurier,20,61,32.8,5,23,21.7,11,21,11,22,16,56,Windsor,16,66,24.2,3,28,10.7,15,19,11,26,16,50,1,0.368852459,0.212652844,0.297297297,0.666666667,0.180327869,0.265151515,0.201612903,0.333333333,0.702702703,0.227272727
2021-2022,York,23,67,34.3,7,23,30.4,15,17,14,14,17,68,Carleton,36,67,53.7,7,18,38.9,21,28,15,23,15,100,0,0.395522388,0.219411461,0.378378378,0.482758621,0.223880597,0.589552239,0.189107413,0.517241379,0.621621622,0.313432836
2021-2022,Ryerson,29,64,45.3,6,26,23.1,7,12,10,25,9,71,Queen's,24,67,35.8,5,20,25,9,12,18,27,18,62,1,0.5,0.131810193,0.27027027,0.581395349,0.109375,0.395522388,0.249031544,0.418604651,0.72972973,0.134328358
2021-2022,Ryerson,30,76,39.5,11,26,42.3,8,12,17,30,11,79,York,16,54,29.6,4,20,20,19,26,13,30,24,55,1,0.467105263,0.146121148,0.361702128,0.697674419,0.105263158,0.333333333,0.313971743,0.302325581,0.638297872,0.351851852
2021-2022,Western,22,72,30.6,5,28,17.9,12,17,16,29,24,61,McMaster,26,75,34.7,7,24,29.2,10,18,12,25,14,69,0,0.340277778,0.274348422,0.390243902,0.707317073,0.166666667,0.393333333,0.164861046,0.292682927,0.609756098,0.133333333
2021-2022,Algoma,18,48,37.5,5,19,26.3,5,8,5,34,21,46,Wilfrid Laurier,24,70,34.3,7,26,26.9,3,9,11,20,9,58,0,0.427083333,0.311018957,0.2,0.755555556,0.104166667,0.392857143,0.125069483,0.244444444,0.8,0.042857143
2021-2022,Lakehead,21,54,38.9,6,23,26.1,7,10,5,20,27,55,Guelph,23,60,38.3,5,20,25,11,19,9,23,18,62,0,0.444444444,0.335820896,0.178571429,0.689655172,0.12962963,0.425,0.232678387,0.310344828,0.821428571,0.183333333
2021-2022,Laurentian,23,64,35.9,7,24,29.2,8,11,15,34,20,61,Carleton,24,72,33.3,6,28,21.4,5,15,23,27,12,59,1,0.4140625,0.270855905,0.357142857,0.596491228,0.125,0.375,0.177514793,0.403508772,0.642857143,0.069444444
2021-2022,Queens,20,59,33.9,5,22,22.7,14,22,11,19,11,59,Ottawa,18,51,35.3,3,15,20,8,11,8,24,27,47,1,0.381355932,0.160163075,0.314285714,0.703703704,0.237288136,0.382352941,0.360769642,0.296296296,0.685714286,0.156862745
2021-2022,Toronto,28,63,44.4,6,24,25,13,20,17,39,23,75,Nipissing,19,72,26.4,7,30,23.3,7,15,20,22,19,52,1,0.492063492,0.29562982,0.435897436,0.661016949,0.206349206,0.3125,0.244845361,0.338983051,0.564102564,0.097222222
2021-2022,Algoma,23,54,42.6,9,21,42.9,8,11,5,24,13,63,Wilfrid Laurier,29,65,44.6,9,25,36,4,9,10,21,12,71,0,0.509259259,0.194494315,0.192307692,0.705882353,0.148148148,0.515384615,0.169109357,0.294117647,0.807692308,0.061538462
2021-2022,Lakehead,17,72,23.6,3,20,15,7,12,16,13,14,44,Guelph,22,51,43.1,6,20,30,16,23,10,34,27,66,0,0.256944444,0.18597237,0.32,0.565217391,0.097222222,0.490196078,0.34562212,0.434782609,0.68,0.31372549
2021-2022,Laurentian,11,57,19.3,4,25,16,13,18,18,26,18,39,Carleton,24,67,35.8,7,21,33.3,14,24,22,31,9,69,0,0.228070175,0.277264325,0.367346939,0.541666667,0.228070175,0.410447761,0.139405204,0.458333333,0.632653061,0.208955224
2021-2022,McMaster,22,60,36.7,3,23,13,12,18,14,28,13,59,Western,25,68,36.8,7,22,31.8,12,16,13,25,14,69,0,0.391666667,0.194261805,0.358974359,0.682926829,0.2,0.419117647,0.184113624,0.317073171,0.641025641,0.176470588
2021-2022,Ottawa,28,63,44.4,7,25,28,6,11,9,19,11,69,Queen's,25,52,48.1,7,22,31.8,10,15,9,26,18,67,1,0.5,0.157502864,0.257142857,0.678571429,0.095238095,0.548076923,0.266272189,0.321428571,0.742857143,0.192307692
2021-2022,Toronto,16,51,31.4,3,16,18.8,25,28,12,24,23,60,Nipissing,21,56,37.5,8,21,38.1,14,18,12,24,21,64,0,0.343137255,0.309472551,0.333333333,0.666666667,0.490196078,0.446428571,0.287986835,0.333333333,0.666666667,0.25
2021-2022,Windsor,16,59,27.1,7,30,23.3,7,13,13,17,20,46,Brock,30,64,46.9,8,20,40,9,12,12,27,14,77,0,0.330508475,0.278862242,0.325,0.586206897,0.118644068,0.53125,0.19640853,0.413793103,0.675,0.140625
2021-2022,York,15,52,28.8,3,17,17.6,14,24,11,20,25,47,Ryerson,30,57,52.6,13,24,54.2,15,20,6,22,18,88,0,0.317307692,0.326541275,0.333333333,0.769230769,0.269230769,0.640350877,0.231362468,0.230769231,0.666666667,0.263157895
2021-2022,Brock,23,71,32.4,6,29,20.7,15,18,13,35,12,67,McMaster,19,71,26.8,10,40,25,6,13,12,30,17,54,1,0.366197183,0.154004107,0.302325581,0.744680851,0.211267606,0.338028169,0.208027411,0.255319149,0.697674419,0.084507042
2021-2022,Ryerson,41,77,53.2,14,35,40,2,3,14,25,13,98,Toronto,17,53,32.1,5,18,27.8,14,21,12,21,26,53,1,0.623376623,0.168132437,0.4,0.675675676,0.025974026,0.367924528,0.341028332,0.324324324,0.6,0.264150943
2021-2022,Windsor,18,62,29,1,21,4.8,24,29,11,24,20,61,Western,24,68,35.3,7,24,29.2,14,19,9,22,14,69,0,0.298387097,0.238777459,0.333333333,0.727272727,0.387096774,0.404411765,0.17207473,0.272727273,0.666666667,0.205882353
2021-2022,Wilfrid Laurier,13,58,22.4,2,20,10,24,35,12,19,21,52,Waterloo,21,62,33.9,3,24,12.5,16,19,12,34,25,61,0,0.24137931,0.254854369,0.260869565,0.612903226,0.413793103,0.362903226,0.299904031,0.387096774,0.739130435,0.258064516
2021-2022,York,27,62,43.5,3,15,20,22,31,15,22,18,79,Ontario Tech,21,54,38.9,3,12,25,12,25,10,12,24,57,1,0.459677419,0.22889115,0.555555556,0.6875,0.35483871,0.416666667,0.303797468,0.3125,0.444444444,0.222222222
2021-2022,Laurentian,27,69,39.1,5,29,17.2,6,11,21,42,22,65,Nipissing,20,76,26.3,9,36,25,8,12,17,23,7,57,1,0.427536232,0.293960449,0.477272727,0.711864407,0.086956522,0.322368421,0.098204265,0.288135593,0.522727273,0.105263158
2021-2022,Algoma,21,72,29.2,9,28,32.1,9,15,7,30,11,60,Lakehead,23,71,32.4,1,16,6.2,10,15,14,36,18,57,1,0.354166667,0.133171913,0.162790698,0.681818182,0.125,0.330985915,0.220588235,0.318181818,0.837209302,0.14084507
2021-2022,Carleton,22,59,37.3,4,13,30.8,15,19,10,27,15,63,Ottawa,16,60,26.7,7,20,35,4,6,7,27,20,43,1,0.406779661,0.207296849,0.27027027,0.794117647,0.254237288,0.325,0.264410365,0.205882353,0.72972973,0.066666667
2021-2022,Waterloo,12,66,18.2,3,21,14.3,16,17,21,31,21,43,Wilfrid Laurier,16,55,29.1,2,25,8,8,21,7,26,10,42,1,0.204545455,0.285792052,0.446808511,0.815789474,0.242424242,0.309090909,0.148720999,0.184210526,0.553191489,0.145454545
2021-2022,Algoma,17,59,28.8,7,25,28,5,12,9,21,13,46,Lakehead,26,63,41.3,2,6,33.3,7,10,13,27,12,61,0,0.347457627,0.190392501,0.25,0.617647059,0.084745763,0.428571429,0.180722892,0.382352941,0.75,0.111111111
2021-2022,McMaster,17,64,26.6,11,39,28.2,8,13,14,25,24,53,Brock,27,67,40.3,7,25,28,11,14,12,25,13,72,0,0.3515625,0.301053688,0.358974359,0.675675676,0.125,0.455223881,0.175296656,0.324324324,0.641025641,0.164179104
2021-2022,Nipissing,16,55,29.1,1,24,4.2,27,34,10,24,19,60,Laurentian,21,47,44.7,8,24,33.3,14,25,7,27,31,64,0,0.3,0.240628166,0.27027027,0.774193548,0.490909091,0.531914894,0.37804878,0.225806452,0.72972973,0.29787234
2021-2022,Toronto,17,41,41.5,8,19,42.1,15,18,6,25,29,57,Ryerson,26,75,34.7,8,28,28.6,18,23,25,19,19,78,0,0.512195122,0.403225806,0.24,0.5,0.365853659,0.4,0.240141557,0.5,0.76,0.24
2021-2022,Western,34,64,53.1,10,22,45.5,18,28,9,29,18,96,Windsor,23,70,32.9,4,25,16,18,25,9,15,16,68,1,0.609375,0.210970464,0.375,0.763157895,0.28125,0.357142857,0.181818182,0.236842105,0.625,0.257142857
2021-2022,York,29,75,38.7,5,22,22.7,24,31,17,30,15,87,Ontario Tech,24,61,39.3,1,13,7.7,14,33,8,25,18,63,1,0.42,0.173130194,0.404761905,0.789473684,0.32,0.401639344,0.210477081,0.210526316,0.595238095,0.229508197
2021-2022,Ontario Tech,19,58,32.8,2,13,15.4,9,15,11,16,23,49,Queen's,25,59,42.4,4,13,30.8,20,26,8,24,18,74,0,0.344827586,0.300261097,0.314285714,0.666666667,0.155172414,0.457627119,0.223769269,0.333333333,0.685714286,0.338983051
2021-2022,Brock,22,71,31,5,30,16.7,6,7,9,21,10,55,Waterloo,13,62,21,7,34,20.6,11,19,14,33,17,44,1,0.345070423,0.133191263,0.214285714,0.6,0.084507042,0.266129032,0.231733915,0.4,0.785714286,0.177419355
2021-2022,Laurentian,20,54,37,5,17,29.4,13,18,13,27,21,58,York,28,75,37.3,11,37,29.7,17,24,23,23,10,84,0,0.416666667,0.300343249,0.361111111,0.54,0.240740741,0.446666667,0.137816979,0.46,0.638888889,0.226666667
2021-2022,McMaster,36,72,50,15,30,50,10,12,10,27,11,97,Windsor,21,56,37.5,4,24,16.7,18,24,8,25,18,64,1,0.604166667,0.140521206,0.285714286,0.771428571,0.138888889,0.410714286,0.235109718,0.228571429,0.714285714,0.321428571
2021-2022,Western,30,90,33.3,3,25,12,12,17,27,29,20,75,Wilfrid Laurier,25,67,37.3,2,17,11.8,6,11,9,19,26,58,1,0.35,0.221043324,0.586956522,0.763157895,0.133333333,0.388059701,0.292660964,0.236842105,0.413043478,0.089552239
2021-2022,Laurentian,20,43,46.5,1,10,10,11,19,5,29,28,52,York,26,64,40.6,6,17,35.3,12,19,6,17,13,70,0,0.476744186,0.37654653,0.227272727,0.828571429,0.255813953,0.453125,0.163810484,0.171428571,0.772727273,0.1875
2021-2022,Carleton,33,70,47.1,12,24,50,20,27,23,17,12,98,Toronto,20,45,44.4,5,14,35.7,10,15,11,9,27,55,1,0.557142857,0.169300226,0.71875,0.607142857,0.285714286,0.5,0.399408284,0.392857143,0.28125,0.222222222
2021-2022,Guelph,37,79,46.8,8,26,30.8,11,13,13,28,10,93,Algoma,17,54,31.5,8,25,32,3,4,5,23,24,45,1,0.518987342,0.122369065,0.361111111,0.848484848,0.139240506,0.388888889,0.321027287,0.151515152,0.638888889,0.055555556
2021-2022,Nipissing,22,60,36.7,6,21,28.6,8,11,8,15,15,58,Queen's,31,66,47,9,24,37.5,12,17,15,27,12,83,0,0.416666667,0.208797327,0.228571429,0.5,0.133333333,0.537878788,0.170261067,0.5,0.771428571,0.181818182
2021-2022,Ottawa,20,52,38.5,4,12,33.3,6,8,12,29,18,50,Ryerson,20,61,32.8,4,22,18.2,7,9,12,19,14,51,0,0.423076923,0.292587776,0.387096774,0.707317073,0.115384615,0.360655738,0.209080048,0.292682927,0.612903226,0.114754098
2021-2022,Carleton,23,71,32.4,5,22,22.7,19,32,23,24,17,70,Toronto,18,59,30.5,7,26,26.9,12,14,11,20,19,55,1,0.35915493,0.21497218,0.534883721,0.685714286,0.267605634,0.36440678,0.259704757,0.314285714,0.465116279,0.203389831
2021-2022,Guelph,28,74,37.8,11,31,35.5,16,20,19,24,10,83,Algoma,15,49,30.6,8,22,36.4,3,9,8,23,25,41,1,0.452702703,0.135501355,0.452380952,0.75,0.216216216,0.387755102,0.357347055,0.25,0.547619048,0.06122449
2021-2022,Nipissing,20,64,31.2,6,24,25,12,21,10,15,14,58,Queen's,29,59,49.2,9,28,32.1,16,20,10,37,14,83,0,0.359375,0.181253237,0.212765957,0.6,0.1875,0.56779661,0.194986072,0.4,0.787234043,0.271186441
2021-2022,Ottawa,13,48,27.1,3,16,18.8,14,20,15,31,20,43,Ryerson,20,62,32.3,7,24,29.2,4,8,11,20,12,51,0,0.302083333,0.323624595,0.428571429,0.738095238,0.291666667,0.379032258,0.180396873,0.261904762,0.571428571,0.064516129
2021-2022,Waterloo,17,68,25,5,23,21.7,8,10,20,17,10,47,Brock,25,65,38.5,7,19,36.8,13,21,13,24,15,70,0,0.286764706,0.16025641,0.454545455,0.566666667,0.117647059,0.438461538,0.196747114,0.433333333,0.545454545,0.2
2021-2022,Windsor,19,68,27.9,6,30,20,14,22,9,25,9,58,McMaster,27,65,41.5,9,26,34.6,9,18,5,28,8,72,0,0.323529412,0.115859938,0.243243243,0.833333333,0.205882353,0.484615385,0.105374078,0.166666667,0.756756757,0.138461538
2021-2022,Wilfrid Laurier,20,56,35.7,3,11,27.3,14,20,10,22,20,57,Western,23,70,32.9,6,23,26.1,7,12,17,25,20,59,0,0.383928571,0.267379679,0.285714286,0.564102564,0.25,0.371428571,0.255493102,0.435897436,0.714285714,0.1
2021-2022,Guelph,37,78,47.4,7,22,31.8,20,25,16,38,19,101,Wilfrid Laurier,21,68,30.9,7,20,35,7,14,7,19,22,56,1,0.519230769,0.206521739,0.457142857,0.844444444,0.256410256,0.360294118,0.24674742,0.155555556,0.542857143,0.102941176
2021-2022,Ottawa,20,78,25.6,7,27,25.9,10,13,25,29,18,57,Carleton,20,58,34.5,1,5,20,13,18,8,27,17,54,1,0.301282051,0.234619395,0.480769231,0.783783784,0.128205128,0.353448276,0.226908703,0.216216216,0.519230769,0.224137931
2021-2022,Toronto,26,80,32.5,9,29,31,10,14,15,36,15,71,Ontario Tech,18,65,27.7,4,22,18.2,34,46,17,41,13,74,0,0.38125,0.174094708,0.267857143,0.679245283,0.125,0.307692308,0.160019695,0.320754717,0.732142857,0.523076923
2021-2022,Waterloo,18,55,32.7,5,11,45.5,9,11,12,39,33,50,McMaster,5,57,8.8,1,30,3.3,17,27,8,22,14,28,1,0.372727273,0.408213756,0.352941176,0.829787234,0.163636364,0.096491228,0.186965812,0.170212766,0.647058824,0.298245614
2021-2022,Lakehead,17,58,29.3,4,13,30.8,12,18,7,26,17,50,Windsor,24,69,34.8,10,35,28.6,11,16,12,26,14,69,0,0.327586207,0.223919916,0.212121212,0.684210526,0.206896552,0.420289855,0.179395182,0.315789474,0.787878788,0.15942029
2021-2022,McMaster,26,64,40.6,9,26,34.6,8,14,9,23,18,69,Waterloo,29,63,46,3,13,23.1,11,14,9,28,21,72,0,0.4765625,0.227387569,0.243243243,0.71875,0.125,0.484126984,0.258748152,0.28125,0.756756757,0.174603175
2021-2022,Nipissing,15,59,25.4,6,25,24,7,10,10,14,14,43,Ottawa,33,67,49.3,10,27,37,12,20,18,30,15,88,0,0.305084746,0.207715134,0.25,0.4375,0.118644068,0.567164179,0.206043956,0.5625,0.75,0.179104478
2021-2022,Queens,25,64,39.1,5,21,23.8,17,27,18,25,17,72,York,31,66,47,5,17,29.4,15,20,11,24,8,82,0,0.4296875,0.227029915,0.428571429,0.694444444,0.265625,0.507575758,0.111420613,0.305555556,0.571428571,0.227272727
2021-2022,Wilfrid Laurier,17,56,30.4,1,24,4.2,14,21,10,26,19,49,Guelph,26,81,32.1,4,18,22.2,14,16,19,28,14,70,0,0.3125,0.255926724,0.263157895,0.577777778,0.25,0.345679012,0.168593449,0.422222222,0.736842105,0.172839506
2021-2022,Lakehead,22,70,31.4,3,13,23.1,13,20,11,32,12,60,Windsor,24,74,32.4,7,35,20,15,23,14,34,9,70,0,0.335714286,0.15037594,0.244444444,0.695652174,0.185714286,0.371621622,0.113751264,0.304347826,0.755555556,0.202702703
2021-2022,Nipissing,16,55,29.1,5,23,21.7,8,11,5,17,14,45,Ottawa,27,70,38.6,8,28,28.6,11,15,17,32,18,73,0,0.336363636,0.203370134,0.135135135,0.5,0.145454545,0.442857143,0.231958763,0.5,0.864864865,0.157142857
2021-2022,Queens,20,65,30.8,2,18,11.1,6,11,14,29,16,48,York,19,64,29.7,3,11,27.3,6,9,10,26,15,47,1,0.323076923,0.222717149,0.35,0.743589744,0.092307692,0.3203125,0.205592105,0.256410256,0.65,0.09375
2021-2022,Ryerson,34,77,44.2,11,38,28.9,12,22,15,33,14,91,Laurentian,20,56,35.7,6,18,33.3,8,18,9,33,29,54,1,0.512987013,0.163398693,0.3125,0.785714286,0.155844156,0.410714286,0.345567207,0.214285714,0.6875,0.142857143
2021-2022,Ryerson,30,71,42.3,14,37,37.8,16,20,16,35,11,90,Laurentian,15,59,25.4,5,23,21.7,14,20,12,29,19,49,1,0.521126761,0.147058824,0.355555556,0.744680851,0.225352113,0.296610169,0.254010695,0.255319149,0.644444444,0.237288136
2021-2022,Toronto,24,66,36.4,8,25,32,14,15,12,37,16,70,Ontario Tech,24,71,33.8,3,15,20,13,25,14,30,11,64,1,0.424242424,0.208877285,0.285714286,0.725490196,0.212121212,0.35915493,0.139240506,0.274509804,0.714285714,0.183098592
2021-2022,Guelph,33,75,44,4,15,26.7,7,10,12,26,19,77,Western,20,68,29.4,3,21,14.3,19,29,16,16,20,62,1,0.466666667,0.219907407,0.428571429,0.619047619,0.093333333,0.316176471,0.235960359,0.380952381,0.571428571,0.279411765
2021-2022,Wilfrid Laurier,26,70,37.1,6,27,22.2,14,20,5,32,7,72,McMaster,27,73,37,6,24,25,18,20,8,34,15,78,0,0.414285714,0.086633663,0.128205128,0.8,0.2,0.410958904,0.168918919,0.2,0.871794872,0.246575342
2021-2022,Nipissing,24,77,31.2,9,30,30,9,14,13,27,9,66,Ontario Tech,28,74,37.8,6,19,31.6,10,19,17,36,22,72,0,0.37012987,0.113693785,0.265306122,0.613636364,0.116883117,0.418918919,0.251831502,0.386363636,0.734693878,0.135135135
2021-2022,Queens,23,72,31.9,7,36,19.4,8,11,17,25,20,61,Carleton,26,63,41.3,6,16,37.5,6,10,7,22,16,64,0,0.368055556,0.250501002,0.435897436,0.78125,0.111111111,0.46031746,0.209424084,0.21875,0.564102564,0.095238095
2021-2022,Toronto,29,61,47.5,11,22,50,10,11,13,30,24,79,York,30,76,39.5,5,19,26.3,17,23,21,19,14,82,0,0.56557377,0.312337324,0.40625,0.588235294,0.163934426,0.427631579,0.176946411,0.411764706,0.59375,0.223684211
2021-2022,Windsor,27,74,36.5,9,30,30,10,14,12,37,11,73,Algoma,14,59,23.7,6,24,25,10,12,7,27,24,44,1,0.425675676,0.13895907,0.307692308,0.840909091,0.135135135,0.288135593,0.295275591,0.159090909,0.692307692,0.169491525
2021-2022,Carleton,23,73,31.5,5,19,26.3,9,14,15,26,11,60,Queen's,22,60,36.7,6,20,30,21,28,7,30,17,71,0,0.349315068,0.146354444,0.333333333,0.787878788,0.123287671,0.416666667,0.206511176,0.212121212,0.666666667,0.35
2021-2022,Western,33,81,40.7,12,27,44.4,13,22,15,28,15,91,Guelph,35,80,43.8,9,26,34.6,4,6,14,24,17,83,1,0.481481481,0.16541685,0.384615385,0.666666667,0.160493827,0.49375,0.198505371,0.333333333,0.615384615,0.05
2021-2022,Windsor,29,63,46,11,21,52.4,13,15,8,34,14,82,Algoma,19,60,31.7,6,25,24,6,11,3,21,15,50,1,0.547619048,0.185185185,0.275862069,0.918918919,0.206349206,0.366666667,0.195210828,0.081081081,0.724137931,0.1
2021-2022,York,29,78,37.2,2,20,10,9,21,22,25,12,69,Toronto,22,63,34.9,7,23,30.4,7,11,9,18,17,58,1,0.384615385,0.155359917,0.55,0.735294118,0.115384615,0.404761905,0.224156118,0.264705882,0.45,0.111111111
2021-2022,Ontario Tech,27,58,46.6,5,13,38.5,25,35,12,36,22,84,Nipissing,27,79,34.2,8,24,33.3,12,20,12,13,8,74,1,0.50862069,0.263788969,0.48,0.75,0.431034483,0.392405063,0.095465394,0.25,0.52,0.151898734
2023-2024,Guelph,21,67,31.3,4,17,23.5,11,19,15,35,27,57,Ottawa,15,69,21.7,6,30,20,13,19,9,27,22,49,1,0.343283582,0.263774912,0.357142857,0.795454545,0.28358209,0.260869565,0.221417069,0.204545455,0.642857143,0.275362319
2023-2024,Queen's,25,63,39.7,13,29,44.8,9,17,11,28,14,72,Laurentian,18,56,32.1,4,20,20,5,10,8,27,19,45,1,0.5,0.165719697,0.289473684,0.777777778,0.26984127,0.357142857,0.23929471,0.222222222,0.710526316,0.178571429
2023-2024,Western,28,84,33.3,7,26,26.9,19,30,22,34,5,82,Algoma,11,51,21.6,6,26,23.1,3,9,5,25,11,31,1,0.375,0.048923679,0.468085106,0.871794872,0.357142857,0.274509804,0.166767738,0.128205128,0.531914894,0.176470588
2023-2024,Brock,30,72,41.7,3,17,17.6,16,23,14,29,14,79,Toronto,24,67,35.8,13,41,31.7,8,13,9,25,17,69,1,0.4375,0.145651269,0.358974359,0.763157895,0.319444444,0.455223881,0.189478377,0.236842105,0.641025641,0.194029851
2023-2024,Toronto Metropolitan,30,68,44.1,4,17,23.5,6,14,15,31,15,70,Lakehead,18,61,29.5,7,21,33.3,10,14,14,27,20,53,1,0.470588235,0.168236878,0.357142857,0.688888889,0.205882353,0.352459016,0.229463056,0.311111111,0.642857143,0.229508197
2023-2024,York,20,68,29.4,5,25,20,12,20,11,16,13,57,Waterloo,25,49,51,4,10,40,19,28,8,34,23,73,0,0.330882353,0.144766147,0.244444444,0.666666667,0.294117647,0.551020408,0.272770398,0.333333333,0.755555556,0.571428571
2023-2024,Guelph,25,62,40.3,10,27,37,6,8,8,21,22,66,Carleton,31,79,39.2,10,22,45.5,11,14,19,23,18,83,0,0.483870968,0.251371115,0.258064516,0.525,0.129032258,0.455696203,0.174486235,0.475,0.741935484,0.17721519
2023-2024,Queen's,26,72,36.1,9,29,31,21,26,18,17,11,82,Nipissing,17,48,35.4,9,21,42.9,8,13,8,24,33,51,1,0.423611111,0.116476069,0.428571429,0.68,0.361111111,0.447916667,0.380535055,0.32,0.571428571,0.270833333
2023-2024,Western,22,77,28.6,9,38,23.7,7,13,20,33,4,60,Algoma,17,58,29.3,6,21,28.6,4,5,4,23,7,44,1,0.344155844,0.046125461,0.465116279,0.891891892,0.168831169,0.344827586,0.104166667,0.108108108,0.534883721,0.086206897
2023-2024,Brock,34,62,54.8,5,17,29.4,9,18,9,24,16,82,York,17,58,29.3,3,26,11.5,14,20,12,17,25,51,1,0.588709677,0.186219739,0.346153846,0.666666667,0.290322581,0.318965517,0.272331155,0.333333333,0.653846154,0.344827586
2023-2024,Toronto Metropolitan,29,76,38.2,5,16,31.2,12,16,17,28,14,75,Lakehead,18,48,37.5,5,19,26.3,9,15,6,30,28,50,1,0.414473684,0.144270404,0.361702128,0.823529412,0.210526316,0.427083333,0.338983051,0.176470588,0.638297872,0.3125
2023-2024,Toronto,13,61,21.3,3,28,10.7,12,16,8,27,18,41,McMaster,36,78,46.2,7,22,31.8,5,5,15,43,16,84,0,0.237704918,0.209205021,0.156862745,0.642857143,0.262295082,0.506410256,0.166320166,0.357142857,0.843137255,0.064102564
2023-2024,Windsor,29,62,46.8,12,31,38.7,9,13,9,27,17,79,Laurier,23,63,36.5,7,28,25,8,11,6,17,19,61,1,0.564516129,0.200661001,0.346153846,0.818181818,0.209677419,0.420634921,0.218793183,0.181818182,0.653846154,0.174603175
